reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.80615055,42.94711805,0,0,50,209.0418181,2020/10/14 04:28:01+00,,,,,,,,,,,,,,,,,,,,,
-78.80615327,42.94714533,0,0,51,209.3191597,2020/10/14 04:28:33+00,,,,,,,,,,,,,,,,,,,,,
-78.8061357,42.9471188,0,0,52,209.5531932,2020/10/14 04:28:53+00,,,,,,,,,,,,,,,,,,,,,
-78.8061446,42.94714221,0,0,53,209.0477905,2020/10/14 04:28:55+00,,,,,,,,,,,,,,,,,,,,,
-78.80613807,42.94712336,0,0,54,209.3291387,2020/10/14 04:28:59+00,,,,,,,,,,,,,,,,,,,,,
-78.80616195,42.94711156,0,0,55,209.2247669,2020/10/14 04:29:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80617118,42.94713995,0,0,56,209.3809224,2020/10/14 04:29:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80617842,42.94718094,0,0,57,209.0372481,2020/10/14 04:29:22+00,,,,,,,,,,,,,,,,,,,,,
-78.80618435,42.9472007,0,0,58,208.9166949,2020/10/14 04:29:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80619379,42.94722462,0,0,59,209.0936014,2020/10/14 04:29:31+00,,,,,,,,,,,,,,,,,,,,,
-78.80621883,42.94722789,0,0,60,209.2565231,2020/10/14 04:29:35+00,,,,,,,,,,,,,,,,,,,,,
-78.80620802,42.94724445,0,0,61,209.1780569,2020/10/14 04:29:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80618744,42.94721277,0,0,62,209.2142054,2020/10/14 04:29:48+00,,,,,,,,,,,,,,,,,,,,,
-78.80619353,42.94718468,0,0,63,209.2062689,2020/10/14 04:29:51+00,,,,,,,,,,,,,,,,,,,,,
-78.80618323,42.94716424,0,0,64,209.1654703,2020/10/14 04:29:53+00,,,,,,,,,,,,,,,,,,,,,
-78.80616256,42.94715023,0,0,65,209.3509103,2020/10/14 04:29:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80613174,42.9471422,0,0,66,209.2099743,2020/10/14 04:30:01+00,,,,,,,,,,,,,,,,,,,,,
-78.80612871,42.94716124,0,0,67,209.6555174,2020/10/14 04:30:13+00,,,,,,,,,,,,,,,,,,,,,
-78.8061625,42.94716581,0,0,68,209.1963872,2020/10/14 04:30:23+00,,,,,,,,,,,,,,,,,,,,,
-78.8061845,42.94718343,0,0,69,208.4459851,2020/10/14 04:30:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80621538,42.9471901,0,0,70,209.3612567,2020/10/14 04:30:38+00,,,,,,,,,,,,,,,,,,,,,
-78.80621689,42.94721297,0,0,71,209.2188257,2020/10/14 04:30:51+00,,,,,,,,,,,,,,,,,,,,,
-78.80620711,42.94719591,0,0,72,208.6684709,2020/10/14 04:30:58+00,,,,,,,,,,,,,,,,,,,,,
-78.80619435,42.9471778,0,0,73,210.1866266,2020/10/14 04:30:59+00,,,,,,,,,,,,,,,,,,,,,
-78.80615872,42.94714458,0,0,74,209.2301492,2020/10/14 04:31:24+00,,,,,,,,,,,,,,,,,,,,,
-78.80619809,42.9471396,0,0,75,209.7705968,2020/10/14 04:31:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80623292,42.94713528,0,0,76,209.1892617,2020/10/14 04:31:38+00,,,,,,,,,,,,,,,,,,,,,
-78.80621132,42.94714384,0,0,77,208.9908753,2020/10/14 04:31:40+00,,,,,,,,,,,,,,,,,,,,,
-78.80621533,42.94716863,0,0,78,209.1745281,2020/10/14 04:31:43+00,,,,,,,,,,,,,,,,,,,,,
-78.80620968,42.94718828,0,0,79,209.1541223,2020/10/14 04:31:45+00,,,,,,,,,,,,,,,,,,,,,
-78.80623715,42.94720436,0,0,80,208.860541,2020/10/14 04:31:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80624464,42.94717675,0,0,81,209.2801516,2020/10/14 04:31:51+00,,,,,,,,,,,,,,,,,,,,,
-78.80626894,42.94717215,0,0,82,209.1649535,2020/10/14 04:31:53+00,,,,,,,,,,,,,,,,,,,,,
-78.80624828,42.94716051,0,0,83,209.1637794,2020/10/14 04:31:59+00,,,,,,,,,,,,,,,,,,,,,
-78.80622195,42.94718936,0,0,84,209.2165915,2020/10/14 04:32:01+00,,,,,,,,,,,,,,,,,,,,,
-78.80622005,42.94720802,0,0,85,209.309804,2020/10/14 04:32:02+00,,,,,,,,,,,,,,,,,,,,,
-78.80623636,42.94719433,0,0,86,209.2366484,2020/10/14 04:32:07+00,,,,,,,,,,,,,,,,,,,,,
-78.80621917,42.94717243,0,0,87,209.2742424,2020/10/14 04:32:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80620255,42.94718591,0,0,88,209.0832027,2020/10/14 04:32:15+00,,,,,,,,,,,,,,,,,,,,,
-78.8062306,42.94718627,0,0,89,209.3365764,2020/10/14 04:32:21+00,,,,,,,,,,,,,,,,,,,,,
-78.80624439,42.94716593,0,0,90,209.089727,2020/10/14 04:32:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80620872,42.94716511,0,0,91,209.4353529,2020/10/14 04:32:33+00,,,,,,,,,,,,,,,,,,,,,
-78.80615655,42.94715639,0,0,92,209.2221647,2020/10/14 04:32:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80617806,42.9471755,0,0,93,209.2507657,2020/10/14 04:33:01+00,,,,,,,,,,,,,,,,,,,,,
-78.80619576,42.94716083,0,0,94,209.1817607,2020/10/14 04:33:08+00,,,,,,,,,,,,,,,,,,,,,
-78.80620851,42.9471771,0,0,95,209.2420964,2020/10/14 04:33:16+00,,,,,,,,,,,,,,,,,,,,,
-78.8062329,42.94716127,0,0,96,209.375344,2020/10/14 04:33:24+00,,,,,,,,,,,,,,,,,,,,,
-78.80626103,42.94714354,0,0,97,209.3171378,2020/10/14 04:33:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80627931,42.94715827,0,0,98,209.3833775,2020/10/14 04:33:38+00,,,,,,,,,,,,,,,,,,,,,
-78.80627931,42.9471368,0,0,99,209.2893674,2020/10/14 04:33:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80626387,42.94711146,0,0,100,209.1026258,2020/10/14 04:33:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80627859,42.94713424,0,0,101,209.4470691,2020/10/14 04:33:52+00,,,,,,,,,,,,,,,,,,,,,
-78.80625291,42.94712072,0,0,102,209.3110557,2020/10/14 04:34:06+00,,,,,,,,,,,,,,,,,,,,,
-78.80622711,42.9471194,0,0,103,209.301888,2020/10/14 04:34:08+00,,,,,,,,,,,,,,,,,,,,,
-78.80619323,42.94711432,0,0,104,209.3576926,2020/10/14 04:34:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80622101,42.94713215,0,0,105,209.1356531,2020/10/14 04:34:14+00,,,,,,,,,,,,,,,,,,,,,
-78.80625649,42.94713069,0,0,106,209.2910401,2020/10/14 04:34:20+00,,,,,,,,,,,,,,,,,,,,,
-78.80630111,42.94714438,0,0,107,209.2040572,2020/10/14 04:34:21+00,,,,,,,,,,,,,,,,,,,,,
-78.80635354,42.94715524,0,0,108,209.3365292,2020/10/14 04:34:22+00,,,,,,,,,,,,,,,,,,,,,
-78.80637459,42.94716914,0,0,109,209.2755199,2020/10/14 04:34:23+00,,,,,,,,,,,,,,,,,,,,,
-78.80637642,42.94720317,0,0,110,209.2027362,2020/10/14 04:34:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80635491,42.94719837,0,0,111,209.0874469,2020/10/14 04:34:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80626434,42.94716559,0,0,112,209.0884311,2020/10/14 04:34:27+00,,,,,,,,,,,,,,,,,,,,,
-78.8062124,42.94720169,0,0,113,209.1909203,2020/10/14 04:34:32+00,,,,,,,,,,,,,,,,,,,,,
-78.806192,42.94722079,0,0,114,209.1583055,2020/10/14 04:34:33+00,,,,,,,,,,,,,,,,,,,,,
-78.80620371,42.94717514,0,0,115,209.1629623,2020/10/14 04:34:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80620908,42.94716019,0,0,116,209.158066,2020/10/14 04:34:43+00,,,,,,,,,,,,,,,,,,,,,
-78.80620874,42.94716065,0,0,117,209.1567635,2020/10/14 04:34:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80620874,42.94716065,0,0,118,209.1567635,2020/10/14 04:34:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80620874,42.94716065,0,0,119,209.1567635,2020/10/14 04:34:57+00,,,,,,,,,,,,,,,,,,,,,
-78.80612021,42.94711519,0,0,120,209.1502183,2020/10/14 04:35:05+00,,,,,,,,,,,,,,,,,,,,,
-78.80614676,42.9471261,0,0,121,208.9260866,2020/10/14 04:35:13+00,,,,,,,,,,,,,,,,,,,,,
